date;ip;bgp_dbp;bgp_lift;nb_occurrences_dbp;nb_occurrences_lift;rank_dbp;rank_lift;precision;recall
2015-10-30T03-00-00;64d7679ceb0a0396c52c3098cf230b40;[(rdflib.term.Variable('cb0'), rdflib.term.URIRef('http://www.w3.org/2002/07/owl#sameAs'), rdflib.term.URIRef('http://it.dbpedia.org/resource/Kaprain'))];[(rdflib.term.Variable('cb0'), rdflib.term.URIRef('http://www.w3.org/2002/07/owl#sameAs'), rdflib.term.URIRef('http://it.dbpedia.org/resource/Carla_Porta_Musa'))];1;1;1;1;0.0;0.0
2015-10-30T03-00-00;64d7679ceb0a0396c52c3098cf230b40;[(rdflib.term.Variable('cb0'), rdflib.term.URIRef('http://www.w3.org/2002/07/owl#sameAs'), rdflib.term.URIRef('http://it.dbpedia.org/resource/Kaprain'))];[(rdflib.term.Variable('cb0'), rdflib.term.URIRef('http://www.w3.org/2002/07/owl#sameAs'), rdflib.term.URIRef('http://it.dbpedia.org/resource/Diabete_mellito_di_tipo_1'))];1;1;1;1;0.0;0.0
2015-10-30T03-00-00;64d7679ceb0a0396c52c3098cf230b40;[(rdflib.term.Variable('cb0'), rdflib.term.URIRef('http://www.w3.org/2002/07/owl#sameAs'), rdflib.term.URIRef('http://it.dbpedia.org/resource/Kaprain'))];[(rdflib.term.Variable('cb0'), rdflib.term.URIRef('http://www.w3.org/2002/07/owl#sameAs'), rdflib.term.URIRef('http://it.dbpedia.org/resource/Kaprain'))];1;1;1;1;1;1
2015-10-30T03-00-00;64d7679ceb0a0396c52c3098cf230b40;[(rdflib.term.Variable('cb0'), rdflib.term.URIRef('http://www.w3.org/2002/07/owl#sameAs'), rdflib.term.URIRef('http://it.dbpedia.org/resource/Kaprain'))];[(rdflib.term.Variable('cb0'), rdflib.term.URIRef('http://www.w3.org/2002/07/owl#sameAs'), rdflib.term.URIRef('http://it.dbpedia.org/resource/Circondario_di_Uelzen'))];1;1;1;1;0.0;0.0
2015-10-30T03-00-00;64d7679ceb0a0396c52c3098cf230b40;[(rdflib.term.Variable('cb0'), rdflib.term.URIRef('http://www.w3.org/2002/07/owl#sameAs'), rdflib.term.URIRef('http://it.dbpedia.org/resource/Kaprain'))];[(rdflib.term.Variable('cb0'), rdflib.term.URIRef('http://www.w3.org/2002/07/owl#sameAs'), rdflib.term.URIRef('http://it.dbpedia.org/resource/Microsoft_Bob'))];1;1;1;1;0.0;0.0
2015-10-30T03-00-00;64d7679ceb0a0396c52c3098cf230b40;[(rdflib.term.Variable('cb0'), rdflib.term.URIRef('http://www.w3.org/2002/07/owl#sameAs'), rdflib.term.URIRef('http://it.dbpedia.org/resource/Kaprain'))];[(rdflib.term.Variable('cb0'), rdflib.term.URIRef('http://www.w3.org/2002/07/owl#sameAs'), rdflib.term.URIRef('http://it.dbpedia.org/resource/Innocent_Eyes_(Graham_Nash)'))];1;1;1;1;0.0;0.0
2015-10-30T03-00-00;64d7679ceb0a0396c52c3098cf230b40;[(rdflib.term.Variable('cb0'), rdflib.term.URIRef('http://www.w3.org/2002/07/owl#sameAs'), rdflib.term.URIRef('http://it.dbpedia.org/resource/John_Beazley'))];[(rdflib.term.Variable('cb824e064b74b9af5fc4656df6af263c357066d63acb49cbec50f82612d3ee6bc8'), rdflib.term.Variable('cbdcc785165c6e04760c5808e9dbff50098e1843e7b2bb8421032a0e40735d99d1'), rdflib.term.Variable('cb3747e4a8cd6c1ecfaa5f3e4c7b3d2ac1751aa8b1e1fc0c2703a2dd0777b4ac1b'))];1;1;1;1;0.0;0.0
2015-10-30T03-00-00;64d7679ceb0a0396c52c3098cf230b40;[(rdflib.term.Variable('cb0'), rdflib.term.URIRef('http://www.w3.org/2002/07/owl#sameAs'), rdflib.term.URIRef('http://it.dbpedia.org/resource/John_Beazley'))];[(rdflib.term.Variable('cb0'), rdflib.term.URIRef('http://www.w3.org/2002/07/owl#sameAs'), rdflib.term.URIRef('http://it.dbpedia.org/resource/Pi3_Orionis'))];1;1;1;1;0.0;0.0
2015-10-30T03-00-00;64d7679ceb0a0396c52c3098cf230b40;[(rdflib.term.Variable('cb0'), rdflib.term.URIRef('http://www.w3.org/2002/07/owl#sameAs'), rdflib.term.URIRef('http://it.dbpedia.org/resource/John_Beazley'))];[(rdflib.term.Variable('cb0'), rdflib.term.URIRef('http://www.w3.org/2002/07/owl#sameAs'), rdflib.term.URIRef('http://it.dbpedia.org/resource/John_Beazley'))];1;1;1;1;1;1
2015-10-30T03-00-00;64d7679ceb0a0396c52c3098cf230b40;[(rdflib.term.Variable('cb0'), rdflib.term.URIRef('http://www.w3.org/2002/07/owl#sameAs'), rdflib.term.URIRef('http://it.dbpedia.org/resource/John_Beazley'))];[(rdflib.term.Variable('cb0'), rdflib.term.URIRef('http://www.w3.org/2002/07/owl#sameAs'), rdflib.term.URIRef('http://it.dbpedia.org/resource/Carla_Porta_Musa'))];1;1;1;1;0.0;0.0
2015-10-30T03-00-00;64d7679ceb0a0396c52c3098cf230b40;[(rdflib.term.Variable('cb0'), rdflib.term.URIRef('http://www.w3.org/2002/07/owl#sameAs'), rdflib.term.URIRef('http://it.dbpedia.org/resource/John_Beazley'))];[(rdflib.term.Variable('cb0'), rdflib.term.URIRef('http://www.w3.org/2002/07/owl#sameAs'), rdflib.term.URIRef('http://it.dbpedia.org/resource/Diabete_mellito_di_tipo_1'))];1;1;1;1;0.0;0.0
2015-10-30T03-00-00;64d7679ceb0a0396c52c3098cf230b40;[(rdflib.term.Variable('cb0'), rdflib.term.URIRef('http://www.w3.org/2002/07/owl#sameAs'), rdflib.term.URIRef('http://it.dbpedia.org/resource/John_Beazley'))];[(rdflib.term.Variable('cb0'), rdflib.term.URIRef('http://www.w3.org/2002/07/owl#sameAs'), rdflib.term.URIRef('http://it.dbpedia.org/resource/Kaprain'))];1;1;1;1;0.0;0.0
2015-10-30T03-00-00;64d7679ceb0a0396c52c3098cf230b40;[(rdflib.term.Variable('cb0'), rdflib.term.URIRef('http://www.w3.org/2002/07/owl#sameAs'), rdflib.term.URIRef('http://it.dbpedia.org/resource/John_Beazley'))];[(rdflib.term.Variable('cb0'), rdflib.term.URIRef('http://www.w3.org/2002/07/owl#sameAs'), rdflib.term.URIRef('http://it.dbpedia.org/resource/Circondario_di_Uelzen'))];1;1;1;1;0.0;0.0
2015-10-30T03-00-00;64d7679ceb0a0396c52c3098cf230b40;[(rdflib.term.Variable('cb0'), rdflib.term.URIRef('http://www.w3.org/2002/07/owl#sameAs'), rdflib.term.URIRef('http://it.dbpedia.org/resource/John_Beazley'))];[(rdflib.term.Variable('cb0'), rdflib.term.URIRef('http://www.w3.org/2002/07/owl#sameAs'), rdflib.term.URIRef('http://it.dbpedia.org/resource/Microsoft_Bob'))];1;1;1;1;0.0;0.0
2015-10-30T03-00-00;64d7679ceb0a0396c52c3098cf230b40;[(rdflib.term.Variable('cb0'), rdflib.term.URIRef('http://www.w3.org/2002/07/owl#sameAs'), rdflib.term.URIRef('http://it.dbpedia.org/resource/John_Beazley'))];[(rdflib.term.Variable('cb0'), rdflib.term.URIRef('http://www.w3.org/2002/07/owl#sameAs'), rdflib.term.URIRef('http://it.dbpedia.org/resource/Innocent_Eyes_(Graham_Nash)'))];1;1;1;1;0.0;0.0
2015-10-30T03-00-00;64d7679ceb0a0396c52c3098cf230b40;[(rdflib.term.Variable('cb0'), rdflib.term.URIRef('http://www.w3.org/2002/07/owl#sameAs'), rdflib.term.URIRef('http://it.dbpedia.org/resource/Carla_Porta_Musa'))];[(rdflib.term.Variable('cb824e064b74b9af5fc4656df6af263c357066d63acb49cbec50f82612d3ee6bc8'), rdflib.term.Variable('cbdcc785165c6e04760c5808e9dbff50098e1843e7b2bb8421032a0e40735d99d1'), rdflib.term.Variable('cb3747e4a8cd6c1ecfaa5f3e4c7b3d2ac1751aa8b1e1fc0c2703a2dd0777b4ac1b'))];1;1;1;1;0.0;0.0
2015-10-30T03-00-00;64d7679ceb0a0396c52c3098cf230b40;[(rdflib.term.Variable('cb0'), rdflib.term.URIRef('http://www.w3.org/2002/07/owl#sameAs'), rdflib.term.URIRef('http://it.dbpedia.org/resource/Carla_Porta_Musa'))];[(rdflib.term.Variable('cb0'), rdflib.term.URIRef('http://www.w3.org/2002/07/owl#sameAs'), rdflib.term.URIRef('http://it.dbpedia.org/resource/Pi3_Orionis'))];1;1;1;1;0.0;0.0
2015-10-30T03-00-00;64d7679ceb0a0396c52c3098cf230b40;[(rdflib.term.Variable('cb0'), rdflib.term.URIRef('http://www.w3.org/2002/07/owl#sameAs'), rdflib.term.URIRef('http://it.dbpedia.org/resource/Carla_Porta_Musa'))];[(rdflib.term.Variable('cb0'), rdflib.term.URIRef('http://www.w3.org/2002/07/owl#sameAs'), rdflib.term.URIRef('http://it.dbpedia.org/resource/John_Beazley'))];1;1;1;1;0.0;0.0
2015-10-30T03-00-00;64d7679ceb0a0396c52c3098cf230b40;[(rdflib.term.Variable('cb0'), rdflib.term.URIRef('http://www.w3.org/2002/07/owl#sameAs'), rdflib.term.URIRef('http://it.dbpedia.org/resource/Carla_Porta_Musa'))];[(rdflib.term.Variable('cb0'), rdflib.term.URIRef('http://www.w3.org/2002/07/owl#sameAs'), rdflib.term.URIRef('http://it.dbpedia.org/resource/Carla_Porta_Musa'))];1;1;1;1;1;1
2015-10-30T03-00-00;64d7679ceb0a0396c52c3098cf230b40;[(rdflib.term.Variable('cb0'), rdflib.term.URIRef('http://www.w3.org/2002/07/owl#sameAs'), rdflib.term.URIRef('http://it.dbpedia.org/resource/Carla_Porta_Musa'))];[(rdflib.term.Variable('cb0'), rdflib.term.URIRef('http://www.w3.org/2002/07/owl#sameAs'), rdflib.term.URIRef('http://it.dbpedia.org/resource/Diabete_mellito_di_tipo_1'))];1;1;1;1;0.0;0.0
2015-10-30T03-00-00;64d7679ceb0a0396c52c3098cf230b40;[(rdflib.term.Variable('cb0'), rdflib.term.URIRef('http://www.w3.org/2002/07/owl#sameAs'), rdflib.term.URIRef('http://it.dbpedia.org/resource/Carla_Porta_Musa'))];[(rdflib.term.Variable('cb0'), rdflib.term.URIRef('http://www.w3.org/2002/07/owl#sameAs'), rdflib.term.URIRef('http://it.dbpedia.org/resource/Kaprain'))];1;1;1;1;0.0;0.0
2015-10-30T03-00-00;64d7679ceb0a0396c52c3098cf230b40;[(rdflib.term.Variable('cb0'), rdflib.term.URIRef('http://www.w3.org/2002/07/owl#sameAs'), rdflib.term.URIRef('http://it.dbpedia.org/resource/Carla_Porta_Musa'))];[(rdflib.term.Variable('cb0'), rdflib.term.URIRef('http://www.w3.org/2002/07/owl#sameAs'), rdflib.term.URIRef('http://it.dbpedia.org/resource/Circondario_di_Uelzen'))];1;1;1;1;0.0;0.0
2015-10-30T03-00-00;64d7679ceb0a0396c52c3098cf230b40;[(rdflib.term.Variable('cb0'), rdflib.term.URIRef('http://www.w3.org/2002/07/owl#sameAs'), rdflib.term.URIRef('http://it.dbpedia.org/resource/Carla_Porta_Musa'))];[(rdflib.term.Variable('cb0'), rdflib.term.URIRef('http://www.w3.org/2002/07/owl#sameAs'), rdflib.term.URIRef('http://it.dbpedia.org/resource/Microsoft_Bob'))];1;1;1;1;0.0;0.0
2015-10-30T03-00-00;64d7679ceb0a0396c52c3098cf230b40;[(rdflib.term.Variable('cb0'), rdflib.term.URIRef('http://www.w3.org/2002/07/owl#sameAs'), rdflib.term.URIRef('http://it.dbpedia.org/resource/Carla_Porta_Musa'))];[(rdflib.term.Variable('cb0'), rdflib.term.URIRef('http://www.w3.org/2002/07/owl#sameAs'), rdflib.term.URIRef('http://it.dbpedia.org/resource/Innocent_Eyes_(Graham_Nash)'))];1;1;1;1;0.0;0.0
2015-10-30T03-00-00;64d7679ceb0a0396c52c3098cf230b40;[(rdflib.term.Variable('cb0'), rdflib.term.URIRef('http://www.w3.org/2002/07/owl#sameAs'), rdflib.term.URIRef('http://it.dbpedia.org/resource/Diabete_mellito_di_tipo_1'))];[(rdflib.term.Variable('cb824e064b74b9af5fc4656df6af263c357066d63acb49cbec50f82612d3ee6bc8'), rdflib.term.Variable('cbdcc785165c6e04760c5808e9dbff50098e1843e7b2bb8421032a0e40735d99d1'), rdflib.term.Variable('cb3747e4a8cd6c1ecfaa5f3e4c7b3d2ac1751aa8b1e1fc0c2703a2dd0777b4ac1b'))];1;1;1;1;0.0;0.0
2015-10-30T03-00-00;64d7679ceb0a0396c52c3098cf230b40;[(rdflib.term.Variable('cb0'), rdflib.term.URIRef('http://www.w3.org/2002/07/owl#sameAs'), rdflib.term.URIRef('http://it.dbpedia.org/resource/Diabete_mellito_di_tipo_1'))];[(rdflib.term.Variable('cb0'), rdflib.term.URIRef('http://www.w3.org/2002/07/owl#sameAs'), rdflib.term.URIRef('http://it.dbpedia.org/resource/Pi3_Orionis'))];1;1;1;1;0.0;0.0
2015-10-30T03-00-00;64d7679ceb0a0396c52c3098cf230b40;[(rdflib.term.Variable('cb0'), rdflib.term.URIRef('http://www.w3.org/2002/07/owl#sameAs'), rdflib.term.URIRef('http://it.dbpedia.org/resource/Diabete_mellito_di_tipo_1'))];[(rdflib.term.Variable('cb0'), rdflib.term.URIRef('http://www.w3.org/2002/07/owl#sameAs'), rdflib.term.URIRef('http://it.dbpedia.org/resource/John_Beazley'))];1;1;1;1;0.0;0.0
2015-10-30T03-00-00;64d7679ceb0a0396c52c3098cf230b40;[(rdflib.term.Variable('cb0'), rdflib.term.URIRef('http://www.w3.org/2002/07/owl#sameAs'), rdflib.term.URIRef('http://it.dbpedia.org/resource/Diabete_mellito_di_tipo_1'))];[(rdflib.term.Variable('cb0'), rdflib.term.URIRef('http://www.w3.org/2002/07/owl#sameAs'), rdflib.term.URIRef('http://it.dbpedia.org/resource/Carla_Porta_Musa'))];1;1;1;1;0.0;0.0
2015-10-30T03-00-00;64d7679ceb0a0396c52c3098cf230b40;[(rdflib.term.Variable('cb0'), rdflib.term.URIRef('http://www.w3.org/2002/07/owl#sameAs'), rdflib.term.URIRef('http://it.dbpedia.org/resource/Diabete_mellito_di_tipo_1'))];[(rdflib.term.Variable('cb0'), rdflib.term.URIRef('http://www.w3.org/2002/07/owl#sameAs'), rdflib.term.URIRef('http://it.dbpedia.org/resource/Diabete_mellito_di_tipo_1'))];1;1;1;1;1;1
2015-10-30T03-00-00;64d7679ceb0a0396c52c3098cf230b40;[(rdflib.term.Variable('cb0'), rdflib.term.URIRef('http://www.w3.org/2002/07/owl#sameAs'), rdflib.term.URIRef('http://it.dbpedia.org/resource/Diabete_mellito_di_tipo_1'))];[(rdflib.term.Variable('cb0'), rdflib.term.URIRef('http://www.w3.org/2002/07/owl#sameAs'), rdflib.term.URIRef('http://it.dbpedia.org/resource/Kaprain'))];1;1;1;1;0.0;0.0
2015-10-30T03-00-00;64d7679ceb0a0396c52c3098cf230b40;[(rdflib.term.Variable('cb0'), rdflib.term.URIRef('http://www.w3.org/2002/07/owl#sameAs'), rdflib.term.URIRef('http://it.dbpedia.org/resource/Diabete_mellito_di_tipo_1'))];[(rdflib.term.Variable('cb0'), rdflib.term.URIRef('http://www.w3.org/2002/07/owl#sameAs'), rdflib.term.URIRef('http://it.dbpedia.org/resource/Circondario_di_Uelzen'))];1;1;1;1;0.0;0.0
2015-10-30T03-00-00;64d7679ceb0a0396c52c3098cf230b40;[(rdflib.term.Variable('cb0'), rdflib.term.URIRef('http://www.w3.org/2002/07/owl#sameAs'), rdflib.term.URIRef('http://it.dbpedia.org/resource/Diabete_mellito_di_tipo_1'))];[(rdflib.term.Variable('cb0'), rdflib.term.URIRef('http://www.w3.org/2002/07/owl#sameAs'), rdflib.term.URIRef('http://it.dbpedia.org/resource/Microsoft_Bob'))];1;1;1;1;0.0;0.0
2015-10-30T03-00-00;64d7679ceb0a0396c52c3098cf230b40;[(rdflib.term.Variable('cb0'), rdflib.term.URIRef('http://www.w3.org/2002/07/owl#sameAs'), rdflib.term.URIRef('http://it.dbpedia.org/resource/Diabete_mellito_di_tipo_1'))];[(rdflib.term.Variable('cb0'), rdflib.term.URIRef('http://www.w3.org/2002/07/owl#sameAs'), rdflib.term.URIRef('http://it.dbpedia.org/resource/Innocent_Eyes_(Graham_Nash)'))];1;1;1;1;0.0;0.0
2015-10-30T03-00-00;64d7679ceb0a0396c52c3098cf230b40;[(rdflib.term.Variable('cb0'), rdflib.term.URIRef('http://www.w3.org/2002/07/owl#sameAs'), rdflib.term.URIRef('http://it.dbpedia.org/resource/Microsoft_Bob'))];[(rdflib.term.Variable('cb824e064b74b9af5fc4656df6af263c357066d63acb49cbec50f82612d3ee6bc8'), rdflib.term.Variable('cbdcc785165c6e04760c5808e9dbff50098e1843e7b2bb8421032a0e40735d99d1'), rdflib.term.Variable('cb3747e4a8cd6c1ecfaa5f3e4c7b3d2ac1751aa8b1e1fc0c2703a2dd0777b4ac1b'))];1;1;1;1;0.0;0.0
2015-10-30T03-00-00;64d7679ceb0a0396c52c3098cf230b40;[(rdflib.term.Variable('cb0'), rdflib.term.URIRef('http://www.w3.org/2002/07/owl#sameAs'), rdflib.term.URIRef('http://it.dbpedia.org/resource/Microsoft_Bob'))];[(rdflib.term.Variable('cb0'), rdflib.term.URIRef('http://www.w3.org/2002/07/owl#sameAs'), rdflib.term.URIRef('http://it.dbpedia.org/resource/Pi3_Orionis'))];1;1;1;1;0.0;0.0
2015-10-30T03-00-00;64d7679ceb0a0396c52c3098cf230b40;[(rdflib.term.Variable('cb0'), rdflib.term.URIRef('http://www.w3.org/2002/07/owl#sameAs'), rdflib.term.URIRef('http://it.dbpedia.org/resource/Microsoft_Bob'))];[(rdflib.term.Variable('cb0'), rdflib.term.URIRef('http://www.w3.org/2002/07/owl#sameAs'), rdflib.term.URIRef('http://it.dbpedia.org/resource/John_Beazley'))];1;1;1;1;0.0;0.0
2015-10-30T03-00-00;64d7679ceb0a0396c52c3098cf230b40;[(rdflib.term.Variable('cb0'), rdflib.term.URIRef('http://www.w3.org/2002/07/owl#sameAs'), rdflib.term.URIRef('http://it.dbpedia.org/resource/Microsoft_Bob'))];[(rdflib.term.Variable('cb0'), rdflib.term.URIRef('http://www.w3.org/2002/07/owl#sameAs'), rdflib.term.URIRef('http://it.dbpedia.org/resource/Carla_Porta_Musa'))];1;1;1;1;0.0;0.0
2015-10-30T03-00-00;64d7679ceb0a0396c52c3098cf230b40;[(rdflib.term.Variable('cb0'), rdflib.term.URIRef('http://www.w3.org/2002/07/owl#sameAs'), rdflib.term.URIRef('http://it.dbpedia.org/resource/Microsoft_Bob'))];[(rdflib.term.Variable('cb0'), rdflib.term.URIRef('http://www.w3.org/2002/07/owl#sameAs'), rdflib.term.URIRef('http://it.dbpedia.org/resource/Diabete_mellito_di_tipo_1'))];1;1;1;1;0.0;0.0
2015-10-30T03-00-00;64d7679ceb0a0396c52c3098cf230b40;[(rdflib.term.Variable('cb0'), rdflib.term.URIRef('http://www.w3.org/2002/07/owl#sameAs'), rdflib.term.URIRef('http://it.dbpedia.org/resource/Microsoft_Bob'))];[(rdflib.term.Variable('cb0'), rdflib.term.URIRef('http://www.w3.org/2002/07/owl#sameAs'), rdflib.term.URIRef('http://it.dbpedia.org/resource/Kaprain'))];1;1;1;1;0.0;0.0
2015-10-30T03-00-00;64d7679ceb0a0396c52c3098cf230b40;[(rdflib.term.Variable('cb0'), rdflib.term.URIRef('http://www.w3.org/2002/07/owl#sameAs'), rdflib.term.URIRef('http://it.dbpedia.org/resource/Microsoft_Bob'))];[(rdflib.term.Variable('cb0'), rdflib.term.URIRef('http://www.w3.org/2002/07/owl#sameAs'), rdflib.term.URIRef('http://it.dbpedia.org/resource/Circondario_di_Uelzen'))];1;1;1;1;0.0;0.0
2015-10-30T03-00-00;64d7679ceb0a0396c52c3098cf230b40;[(rdflib.term.Variable('cb0'), rdflib.term.URIRef('http://www.w3.org/2002/07/owl#sameAs'), rdflib.term.URIRef('http://it.dbpedia.org/resource/Microsoft_Bob'))];[(rdflib.term.Variable('cb0'), rdflib.term.URIRef('http://www.w3.org/2002/07/owl#sameAs'), rdflib.term.URIRef('http://it.dbpedia.org/resource/Microsoft_Bob'))];1;1;1;1;1;1
2015-10-30T03-00-00;64d7679ceb0a0396c52c3098cf230b40;[(rdflib.term.Variable('cb0'), rdflib.term.URIRef('http://www.w3.org/2002/07/owl#sameAs'), rdflib.term.URIRef('http://it.dbpedia.org/resource/Microsoft_Bob'))];[(rdflib.term.Variable('cb0'), rdflib.term.URIRef('http://www.w3.org/2002/07/owl#sameAs'), rdflib.term.URIRef('http://it.dbpedia.org/resource/Innocent_Eyes_(Graham_Nash)'))];1;1;1;1;0.0;0.0
2015-10-30T03-00-00;64d7679ceb0a0396c52c3098cf230b40;[(rdflib.term.Variable('cb0'), rdflib.term.URIRef('http://www.w3.org/2002/07/owl#sameAs'), rdflib.term.URIRef('http://it.dbpedia.org/resource/Innocent_Eyes_(Graham_Nash)'))];[(rdflib.term.Variable('cb824e064b74b9af5fc4656df6af263c357066d63acb49cbec50f82612d3ee6bc8'), rdflib.term.Variable('cbdcc785165c6e04760c5808e9dbff50098e1843e7b2bb8421032a0e40735d99d1'), rdflib.term.Variable('cb3747e4a8cd6c1ecfaa5f3e4c7b3d2ac1751aa8b1e1fc0c2703a2dd0777b4ac1b'))];1;1;1;1;0.0;0.0
